ID	Comunidad	Via	pValue	ncomu	nvia	nComVia	ElementsComVia
DRD2.hsa04080	DRD2	hsa04080	6.94813025164015e-29	98	43	21	C01996,FSHR,TSHR,CGA,CHRNA7,TSHB,CHRNA4,CHRNB2,CHRNA6,CHRNA3,CHRNB4,CHRNA1,CHRNA2,CHRNA5,CHRNB1,CHRNB3,CHRND,CHRNE,CHRNG,CHRNA9,CHRNA10
DRD2.hsa04742	DRD2	hsa04742	5.69851997206801e-14	98	76	15	C00780,C00334,C01996,GABBR1,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,GABBR2,HTR3C,HTR3D,HTR3E,HTR3A,HTR3B
DRD2.hsa05033	DRD2	hsa05033	5.23836230418334e-11	98	38	10	C00334,C01996,CHRNA7,C00745,CHRNA4,CHRNB2,CHRNA6,GABRR3,GABRR1,GABRR2
C00020.hsa00230	C00020	hsa00230	2.19556821937835e-94	160	181	82	C00020,C00044,C00002,C00144,C00008,C00130,C00035,NME6,NME7,NME1,NME2,NME3,NME4,NME1NME2,AK9,NT5C1BRDH14,NT5C3B,NT5C2,NT5C,NT5E,NT5C3A,NT5M,NT5C1A,ENTPD8,ENTPD1,ENTPD3,C00206,ENPP1,ENPP3,C00360,PNP,C00104,RRM2B,RRM2,C00361,RRM1,C00655,ITPA,C00081,C00286,C00362,C00131,C00559,C00294,C00330,C01344,C01345,C01762,C00387,AK7,AK8,AK1,AK2,AK4,AK5,LOC390877,CANT1,ENTPD6,ENTPD5,ENTPD4,NTPCR,AK6,GUK1,NUDT16,NPR2,DCK,ADA,IMPDH1,IMPDH2,GMPS,ADK,AK3,ENTPD2,GMPR2,GUCY2C,C06196,C05512,DGUOK,FHIT,ENPP4,C06197,C00147
C00020.hsa00240	C00020	hsa00240	7.95997964849725e-95	160	94	67	NME6,NME7,NME1,NME2,NME3,NME4,NME1NME2,AK9,NT5C1BRDH14,NT5C3B,NT5C2,NT5C,NT5E,NT5C3A,NT5M,NT5C1A,C00105,ENTPD8,ENTPD1,ENTPD3,ENPP1,ENPP3,C00015,C00055,PNP,C00112,C00075,C00063,C00364,RRM2B,RRM2,RRM1,C00705,C00299,C00526,C00459,C00239,C00365,C01346,C00363,C00475,CMPK1,C00881,C00214,C00458,C00460,C11038,C11039,CANT1,ENTPD6,ENTPD5,ENTPD4,CMPK2,UCKL1,UCK2,UCK1,CDA,TK1,UPP2,UPP1,DCK,DTYMK,DUT,DCTPP1,CTPS1,CTPS2,DCTD
C00020.hsa00760	C00020	hsa00760	5.16927961419862e-33	160	43	26	NT5C1BRDH14,NT5C3B,NT5C2,NT5C,NT5E,NT5C3A,NT5M,NT5C1A,ENPP1,ENPP3,C01185,C00455,PNP,C05841,C03150,C00857,NUDT12,NMNAT2,NMNAT3,NMNAT1,NMRK2,NMRK1,NT5C1B,NADSYN1,C00253,NAPRT
C00020.hsa00983	C00020	hsa00983	2.81374839770771e-28	160	116	33	NME6,NME7,NME1,NME2,NME3,NME4,NME1NME2,RRM2B,RRM2,RRM1,ITPA,C21748,C21750,CMPK1,C21751,C21749,UCKL1,UCK2,UCK1,CDA,TK1,C16634,UPP2,UPP1,C16633,C04646,IMPDH1,IMPDH2,GMPS,DUT,C16618,C04242,C16617
AKT2.hsa04150	AKT2	hsa04150	3.83722922836521e-19	85	143	22	AKT2,AKT3,AKT1,PRKAA1,PRKAA2,TSC2,TSC1,STK11,TBC1D7,SESN2,STRADB,STRADA,CAB39,CAB39L,NPRL2,NPRL3,DEPDC5,SEH1L,DDIT4,MIOS,WDR59,WDR24
AKT2.hsa04151	AKT2	hsa04151	9.73048616586303e-08	85	348	18	AKT2,AKT3,AKT1,PRKAA1,PRKAA2,CASP9,TSC2,TSC1,STK11,NR4A1,THEM4,CDC37,DDIT4,PHLPP2,PHLPP1,MTCP1,TCL1A,TCL1B
AKT2.hsa04152	AKT2	hsa04152	1.5325993140993e-56	85	109	42	AKT2,AKT3,AKT1,PRKAA1,PRKAA2,PRKAG2,PRKAG3,PRKAB1,PRKAB2,PRKAG1,SLC2A4,TSC2,TSC1,STK11,C00003,CAMKK2,ACACB,LIPE,CD36,PFKFB3,ADRA1A,PFKFB1,PFKFB2,CFTR,ADIPOR1,ADIPOR2,TBC1D1,EEF2K,ACACA,ELAVL1,STRADB,STRADA,CAB39,CAB39L,MLYCD,PFKFB4,HMGCR,RAB10,RAB8A,RAB14,RAB2A,EEF2
AKT2.hsa04210	AKT2	hsa04210	3.18711020772407e-08	85	129	12	AKT2,AKT3,AKT1,CASP3,CASP9,APAF1,PARP2,PARP3,PARP1,PARP4,SPTA1,SPTAN1
C00951.hsa00140	C00951	hsa00140	1.97737614142684e-62	78	144	47	C00951,UGT2B11,UGT2A1,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,UGT2A2,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3,C00535,C00468,AKR1C1,HSD11B1,C05141,AKR1C2,C05299,C05302,C04373,C00523,C11136,C11135,C05504,C11134,C11133,C11132,C11131,C05503,AKR1C3,HSD17B8,C13712,C18042,C18041,C13713,C04042,C04518,C05285
C00951.hsa00980	C00951	hsa00980	7.56513046465058e-34	78	139	31	UGT2B11,UGT2A1,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,UGT2A2,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3,AKR1C1,CYP2A13,HSD11B1,CBR1,C07490,DHDH,CBR3,C14869,C19574,C06205,C03012,C19594
DVL1.hsa04310	DVL1	hsa04310	7.63204797052144e-117	79	154	71	DVL1,DVL2,DVL3,FZD3,FZD10,FZD2,FZD5,FZD1,FZD4,FZD6,FZD7,FZD8,FZD9,LRP6,LRP5,SFRP1,SFRP2,SFRP4,SFRP5,WNT3,WNT3A,WNT4,WNT1,WNT16,WNT2,WNT5A,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT10B,WNT11,WNT2B,WNT9A,WNT9B,WNT10A,WNT5B,BAMBI,PORCN,CER1,WIF1,NOTUM,RNF43,ZNRF3,GPC4,ROR1,ROR2,RYK,VANGL2,VANGL1,CSNK2A2,CSNK2B,PRICKLE1,PRICKLE2,PRICKLE4,PRICKLE3,FRAT1,FRAT2,SENP2,DAAM1,DAAM2,CXXC4,CSNK2A3,NKD2,INVS,DKK1,DKK4,DKK2,SOST,SERPINF1
CYP2E1.hsa00980	CYP2E1	hsa00980	1.73505351332306e-77	71	139	52	CYP2E1,GSTP1,GSTO2,GSTA5,GSTA1,GSTA2,GSTA3,GSTA4,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,GSTT1,GSTT2,MGST1,MGST2,MGST3,GSTT2B,GSTO1,HPGDS,GSTK1,C14852,C19586,C14851,C06790,C14786,C14857,C14870,C11088,C14858,C14859,C14871,C14874,C14868,C14840,C14848,C14865,C14856,C14855,C14861,C14864,C14791,C14863,C14839,C14847,C11278,C14039,C14453,C14845,C14040,C14802
CREB1.hsa04151	CREB1	hsa04151	3.9469075938897e-13	38	348	17	CREB1,ATF2,ATF4,CREB3,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5,ATF6B,CRTC2,PCK1,PCK2,G6PC,G6PC2,G6PC3,MCL1
CREB1.hsa04925	CREB1	hsa04925	1.98936568686414e-27	38	70	18	CREB1,ATF2,ATF4,CREB3,CREB3L4,CREB3L2,CREB3L3,CREB3L1,CREB5,ATF6B,ATF1,PRKD3,PRKD2,PRKD1,CAMK1D,CAMK1G,CAMK1,STAR
RXRA.hsa01212	RXRA	hsa01212	6.59292435547886e-11	97	144	16	C00154,CPT1C,CPT1A,CPT1B,C00249,ACSL1,ACSL3,ACSL4,ACSBG1,ACSL6,ACSL5,ACSBG2,CPT2,C02990,PPT1,PPT2
RXRA.hsa03320	RXRA	hsa03320	3.42490142042227e-107	97	80	61	RXRA,RXRB,RXRG,PPARA,PPARG,PPARD,CPT1C,CPT1A,CPT1B,NR1H3,LPL,CYP7A1,ACSL1,ACSL3,ACSL4,ACSBG1,ACSL6,ACSL5,ACSBG2,SCD,SCD5,ACOX2,SCP2,MMP1,ADIPOQ,SORBS1,HMGCS1,HMGCS2,FABP1,FABP4,FABP2,C15493,UCP1,ME3,ME1,GK2,CPT2,FABP3,FABP5,FABP6,FABP7,ANGPTL4,SLC27A4,SLC27A2,SLC27A6,SLC27A1,APOA1,APOA2,APOC3,APOA5,PLTP,DBI,UBC,OLR1,PLIN2,PLIN5,PLIN4,AQP7,C14776,C14767,C14762
RXRA.hsa04919	RXRA	hsa04919	4.9588809317333e-21	97	118	23	RXRA,RXRB,RXRG,THRA,MED1,THRB,MED16,MED12L,MED13L,MED4,MED30,MED14,MED17,MED27,MED24,MED12,MED13,PLN,NCOR1,C02465,ATP2A1,ATP2A2,ATP2A3
TRAF6.hsa04064	TRAF6	hsa04064	3.29368436112273e-52	91	78	37	TRAF6,IKBKB,TRAF2,NFKB2,IKBKG,MAP3K7,CHUK,RIPK1,RELB,TRAF5,TRAF3,NFKBIA,TNFRSF1A,IRAK4,PRKCQ,MAP3K14,TAB2,TAB1,IRAK1,TICAM1,TRADD,CD40,DDX58,TAB3,LTBR,TIRAP,LTA,TNFAIP3,TRAF1,CFLAR,CARD11,TNFRSF13C,TICAM2,TNFSF14,LTB,CD40LG,TRIM25
TRAF6.hsa04217	TRAF6	hsa04217	5.17396329533052e-14	91	157	19	TRAF2,RIPK1,TRAF5,CASP8,TNFRSF1A,TICAM1,TRADD,SQSTM1,FADD,FAS,TNFAIP3,CYLD,CFLAR,ZBP1,TNFRSF10B,TICAM2,TNFRSF10A,FAF1,USP21
TRAF6.hsa04621	TRAF6	hsa04621	2.96761508504431e-27	91	151	29	TRAF6,IKBKB,TRAF2,IKBKG,MAP3K7,CHUK,RIPK1,RIPK2,TRAF5,CASP8,MAVS,TRAF3,NFKBIA,IRAK4,TAB2,TAB1,NFKBIB,TBK1,TICAM1,FADD,IKBKE,TAB3,TNFAIP3,CARD9,TANK,TMEM173,CARD6,TRIP6,NLRX1
TRAF6.hsa04622	TRAF6	hsa04622	1.86323364252528e-42	91	69	31	TRAF6,IKBKB,TRAF2,IKBKG,MAP3K7,CHUK,RIPK1,CASP8,MAVS,TRAF3,NFKBIA,NFKBIB,TBK1,TRADD,DDX58,FADD,IKBKE,CASP10,CYLD,TANK,TMEM173,IFIH1,AZI2,TBKBP1,DHX58,RNF125,OTUD5,TRIM25,NLRX1,DDX3X,SIKE1
TRAF6.hsa04660	TRAF6	hsa04660	3.02544260363214e-11	91	103	14	IKBKB,IKBKG,MAP3K7,CHUK,NFKBIA,PRKCQ,MAP3K14,NFKBIB,MAP3K8,NFKBIE,BCL10,MALT1,CARD11,CD40LG
TRAF6.hsa04668	TRAF6	hsa04668	1.34327993046912e-20	91	73	19	IKBKB,TRAF2,IKBKG,MAP3K7,CHUK,RIPK1,TRAF5,CASP8,NFKBIA,TNFRSF1A,MAP3K14,TRADD,FADD,MAP3K8,CASP10,LTA,TNFRSF1B,CFLAR,BAG4
TRAF6.hsa05131	TRAF6	hsa05131	1.98806784187936e-12	91	54	12	IKBKB,IKBKG,CHUK,RIPK2,NFKBIA,FBXW11,BTRC,NFKBIB,UBE2D2,UBE2D4,UBE2D1,UBE2D3
TRAF6.hsa05152	TRAF6	hsa05152	6.74028820620124e-08	91	184	14	TRAF6,RIPK2,CASP8,TNFRSF1A,IRAK4,IRAK1,TRADD,FADD,TIRAP,CASP10,BCL10,CARD9,MALT1,IRAK2
TRAF6.hsa05162	TRAF6	hsa05162	8.22900389388871e-19	91	104	20	TRAF6,IKBKB,IKBKG,MAP3K7,CHUK,MAVS,NFKBIA,IRAK4,PRKCQ,TAB2,IRAK1,NFKBIB,TBK1,EIF2AK1,DDX58,IKBKE,FAS,TNFAIP3,TNFRSF10B,IFIH1
TRAF6.hsa05168	TRAF6	hsa05168	3.52673611314011e-23	91	103	23	TRAF6,IKBKB,IKBKG,MAP3K7,CHUK,CASP8,MAVS,NFKBIA,TNFRSF1A,TAB2,TAB1,TBK1,TICAM1,EIF2AK1,DDX58,FADD,IKBKE,FAS,LTA,TRAF1,IFIH1,TNFRSF14,TNFSF14
PPP3CA.hsa04114	PPP3CA	hsa04114	5.25488563955101e-47	52	124	33	PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPP3R2,ANAPC10,CDC26,ANAPC13,ANAPC2,ANAPC4,ANAPC5,ANAPC7,ANAPC11,ANAPC1,CDC23,CDC16,CDC27,CCNB2,CCNB1,CDC20,MAD1L1,MAD2L1,PLK1,MAD2L2,PTTG2,PTTG1,BUB1,CPEB2,CPEB3,CPEB1,CPEB4,AURKA,SLK
PPP3CA.hsa05014	PPP3CA	hsa05014	2.25586092225026e-17	52	53	13	PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPP3R2,C16844,SOD1,C00704,C16845,SLC1A2,TOMM40,TOMM40L,DERL1
MYC.hsa04310	MYC	hsa04310	8.51943159161903e-31	57	154	27	MYC,CCND1,CTNNB1,GSK3B,CCND2,CCND3,LEF1,TCF7,TCF7L2,TCF7L1,AXIN1,AXIN2,APC,APC2,NKD1,CTBP1,CTBP2,MMP7,RUVBL1,TBL1X,TBL1XR1,TBL1Y,SOX17,CSNK1A1L,CSNK1A1,CTNNBIP1,CHD8
MYC.hsa04390	MYC	hsa04390	5.05826137429448e-38	57	152	31	MYC,CCND1,CTNNB1,YAP1,WWTR1,GSK3B,CCND2,CCND3,LEF1,TCF7,TCF7L2,TCF7L1,AXIN1,AXIN2,TEAD1,TEAD4,TEAD3,TEAD2,APC,SOX2,NKD1,SNAI2,DLG1,CCN2,SCRIB,LLGL2,LLGL1,DLG2,DLG3,AMOT,AFP
EHHADH.hsa00280	EHHADH	hsa00280	2.9675205435992e-60	129	86	46	EHHADH,HADHA,ACAA1,ECHS1,C00024,ACADM,ACAA2,HADHB,ACAT1,ACAT2,HADH,ACADSB,ACADS,C00332,C06002,C00349,C03344,C00164,ABAT,C03460,C03069,C00356,C03345,ALDH6A1,C06001,C04405,C00630,C06000,HIBCH,C15980,HMGCL,HMGCLL1,C05998,HIBADH,C02939,C03231,OXCT1,OXCT2,AACS,HSD17B10,ACAD8,AUH,MCCC1,MCCC2,IVD,C03284
EHHADH.hsa00430	EHHADH	hsa00430	1.25523597043021e-11	129	19	9	GAD1,GAD2,C00606,C00506,C00519,CSAD,GADL1,ADO,C01678
EHHADH.hsa00592	EHHADH	hsa00592	3.01185807090116e-14	129	37	13	ACAA1,ACOX1,ACOX3,C16335,C16331,C16336,C16332,C16327,C16328,C16338,C16339,C16334,C16330
EHHADH.hsa00650	EHHADH	hsa00650	1.42779372502802e-48	129	43	32	EHHADH,HADHA,ECHS1,C00024,ACAT1,ACAT2,HADH,ACADS,C00136,C00332,C00877,C00164,GAD1,GAD2,ABAT,C00246,C00356,C01144,HMGCL,HMGCLL1,OXCT1,OXCT2,AACS,BDH2,BDH1,ACSM1,ACSM2A,ACSM6,ACSM4,ACSM2B,ACSM5,ACSM3
EHHADH.hsa01200	EHHADH	hsa01200	1.07382062746049e-10	129	167	19	EHHADH,HADHA,ECHS1,ACOX1,ACOX3,C00024,ACADM,ACAT1,ACAT2,ACADS,C00136,C00332,C00877,ALDH6A1,C00894,C05668,HIBCH,C00222,C01013
EHHADH.hsa01212	EHHADH	hsa01212	1.91969427195129e-55	129	144	51	EHHADH,HADHA,ACAA1,ECHS1,ACOX1,ACOX3,C00024,ACADM,ACAA2,HADHB,ACAT1,ACAT2,HADH,ACADSB,ACADS,C00136,ACADL,MECR,C00332,C02593,C01832,C05274,C01944,C05270,C05272,C05273,C03221,C05275,C05276,C05271,C00877,C05259,C05261,C05263,C05265,C05267,C05269,C16376,C16389,C16173,C05258,C05260,C05262,C05264,C05266,C05268,C01144,C16168,C16172,C16374,C16387
C00219.hsa00564	C00219	hsa00564	8.25830362530026e-50	61	123	36	C00350,PLA2G4B,PLA2G4E,PLA2G4F,PLA2G4D,PLA2G4A,PLA2G4C,JMJD7PLA2G4B,C00157,C04230,C04438,PLA2G6,PLB1,PLA2G2D,PLA2G2E,PLA2G2C,PLA2G3,PLA2G1B,PLA2G2A,PLA2G5,PLA2G2F,PLA2G12A,PLA2G10,PLA2G12B,LPCAT2,LPCAT1,LPCAT4,C02737,LPCAT3,PLD4,PLD3,C18125,LCAT,PTDSS2,PISD,PTDSS1
C00219.hsa00565	C00219	hsa00565	5.25805955950051e-73	61	65	40	PLA2G4B,PLA2G4E,PLA2G4F,PLA2G4D,PLA2G4A,PLA2G4C,JMJD7PLA2G4B,C04756,C04317,C04635,C05212,PLA2G6,PLB1,PLA2G2D,PLA2G2E,PLA2G2C,PLA2G3,PLA2G1B,PLA2G2A,PLA2G5,PLA2G2F,PLA2G12A,PLA2G10,PLA2G12B,LPCAT2,LPCAT1,LPCAT4,C04598,PLD4,PLD3,C15647,C15646,PAFAH1B1,PAFAH1B2,PAFAH1B3,PAFAH2,PLA2G7,GDPD1,ENPP2,GDPD3
C00219.hsa04750	C00219	hsa04750	1.0027682895496e-12	61	122	14	C00219,PLA2G4B,PLA2G4E,PLA2G4F,PLA2G4D,PLA2G4A,PLA2G4C,JMJD7PLA2G4B,PLA2G6,TRPM8,C12083,C06254,C00400,C09844
HLAA.hsa04514	HLAA	hsa04514	1.15821279611624e-25	62	123	23	HLAA,HLAB,HLAC,HLAE,HLAF,HLAG,HLADMA,HLADMB,HLADOA,HLADOB,HLADPA1,HLADPB1,HLADQA1,HLADQA2,HLADQB1,HLADRA,HLADRB3,HLADRB4,HLADRB5,CD4,HLADRB1,CD8A,CD8B
HLAA.hsa04612	HLAA	hsa04612	1.85356943810079e-83	62	50	41	HLAA,HLAB,HLAC,HLAE,HLAF,HLAG,KLRD1,CIITA,KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL5A,KLRC1,KIR3DL1,KIR3DL2,HLADMA,HLADMB,RFX5,RFXAP,RFXANK,NFYA,NFYB,NFYC,CD4,CD74,TAPBP,KIR2DL4,KLRC2,KLRC3,CD8A,CD8B,KIR2DS2,KIR2DS1,KIR2DS3,KIR2DS4,KIR2DS5,KIR3DL3,KLRC4,TAP1,TAP2,LGMN
HLAA.hsa05152	HLAA	hsa05152	4.62613246493892e-20	62	184	22	CIITA,HLADMA,HLADMB,HLADOA,HLADOB,HLADPA1,HLADPB1,HLADQA1,HLADQA2,HLADQB1,HLADRA,HLADRB3,HLADRB4,HLADRB5,RFX5,RFXAP,RFXANK,NFYA,NFYB,NFYC,CD74,HLADRB1
HLAA.hsa05332	HLAA	hsa05332	7.69933900124116e-41	62	26	21	KLRD1,KIR2DL1,KIR2DL2,KIR2DL3,KIR2DL5A,KLRC1,KIR3DL1,KIR3DL2,HLADMA,HLADMB,HLADOA,HLADOB,HLADPA1,HLADPB1,HLADQA1,HLADQA2,HLADQB1,HLADRA,HLADRB3,HLADRB4,HLADRB5
SMAD2.hsa04060	SMAD2	hsa04060	1.52245770116159e-36	82	281	41	BMPR2,ACVR2A,ACVR2B,BMPR1A,BMPR1B,ACVR1,TGFB1,TGFB2,TGFB3,TGFBR2,TGFBR1,ACVR1B,AMHR2,ACVR1C,BMP4,NODAL,AMH,INHBA,INHBB,BMP2,BMP5,BMP6,BMP7,BMP8A,BMP8B,GDF5,GDF6,GDF7,ACVRL1,GDF11,GDF1,GDF3,MSTN,GDF2,BMP10,INHA,GDF10,GDF9,BMP15,GDF15,BMP3
SMAD2.hsa04350	SMAD2	hsa04350	1.30202234509491e-81	82	74	48	SMAD2,SMAD3,BMPR2,ACVR2A,ACVR2B,BMPR1A,BMPR1B,ACVR1,SMAD4,TGFB1,TGFB2,TGFB3,TGFBR2,TGFBR1,ACVR1B,SMAD1,SMAD7,AMHR2,SMAD5,SMAD9,ACVR1C,BMP4,CHRD,NOG,NODAL,AMH,DCN,INHBA,INHBB,INHBC,INHBE,BMP2,BMP5,BMP6,BMP7,BMP8A,BMP8B,SMAD6,GDF5,GDF6,GDF7,LTBP1,LEFTY1,LEFTY2,FST,FMOD,ZFYVE9,ZFYVE16
SMAD2.hsa04520	SMAD2	hsa04520	1.02443412588326e-11	82	68	12	SMAD2,SMAD3,SMAD4,TGFBR2,TGFBR1,CTNND1,CDH1,SNAI1,FER,YES1,PTPRM,PTPRJ
STAT1.hsa04630	STAT1	hsa04630	6.0737006258833e-25	59	161	24	STAT1,STAT3,STAT5A,STAT5B,STAT2,STAT6,STAT4,IRF9,AOX1,SOCS3,SOCS1,SOCS4,SOCS2,PIAS4,SOCS6,SOCS5,PTPN2,PIM1,CISH,GFAP,PIAS3,PIAS1,PIAS2,FHL1
STAT1.hsa04917	STAT1	hsa04917	5.29331469035392e-25	59	70	19	STAT1,STAT3,STAT5A,STAT5B,SOCS3,LHCGR,SOCS1,SOCS4,SOCS2,SOCS6,SOCS5,TH,SLC2A2,CISH,IRF1,TNFSF11,ELF5,CSN2,LHB
STAT1.hsa05160	STAT1	hsa05160	1.05838178002047e-16	59	128	17	STAT1,STAT2,IRF9,SOCS3,EIF2AK2,EIF2AK3,EIF2AK4,IFIT1,PIAS1,IFIT1B,OAS1,OAS2,OAS3,RNASEL,C20935,RSAD2,MX1
STAT1.hsa05162	STAT1	hsa05162	2.43465132561009e-15	59	104	15	STAT1,STAT3,STAT5A,STAT5B,STAT2,IRF9,EIF2AK2,EIF2AK3,EIF2AK4,OAS1,OAS2,OAS3,RACK1,MX1,ADAR
CDKN1A.hsa04110	CDKN1A	hsa04110	7.73971285660755e-30	74	123	27	CDKN1A,CDK2,CDK1,CDC25C,CCNE1,CCNE2,CDKN1B,RB1,RBX1,SKP1,E2F1,E2F3,CUL1,E2F2,RBL1,CCNA1,CDKN1C,SKP2,CCNA2,TFDP1,TFDP2,E2F4,E2F5,CDK7,CCNH,WEE2,WEE1
CDKN1A.hsa04114	CDKN1A	hsa04114	5.00360481121663e-22	74	124	22	CDK2,CDK1,CDC25C,CCNE1,CCNE2,RBX1,SKP1,CUL1,FBXO5,SPDYE2B,SPDYE18,SPDYE11,SPDYE16,SPDYE17,SPDYA,SPDYE1,SPDYC,SPDYE4,SPDYE3,SPDYE2,SPDYE5,SPDYE6
CDKN1A.hsa04218	CDKN1A	hsa04218	2.24644282508599e-21	74	152	23	CDKN1A,CDK2,CDK1,CCNE1,CCNE2,PTEN,RB1,E2F1,E2F3,E2F2,RBL2,RBL1,CCNA1,MYBL2,CCNA2,FOXM1,E2F4,E2F5,LIN54,LIN9,LIN37,RBBP4,LIN52
CDKN1A.hsa05206	CDKN1A	hsa05206	3.13431799143563e-23	74	260	29	CDKN1A,CDC25C,CCNE1,CCNE2,PTEN,CDKN1B,E2F1,E2F3,E2F2,MIR17,MIR18A,MIR19A,MIR19B1,MIR19B2,MIR20A,MIR92A1,MIR92A2,MIR15A,MIR15B,MIR161,MIR162,MIR222,MIR106B,MIR26A1,MIR26A2,MIR26B,MIR214,MIR330,MIR210
PRKCA.hsa04115	PRKCA	hsa04115	2.45948767974394e-27	78	71	22	TP53,ATM,BBC3,MDM4,TP73,TP53AIP1,IGFBP3,RPRM,GTSE1,EI24,TP53I3,SHISA5,PERP,ZMAT3,ADGRB1,CD82,DDB2,STEAP3,COP1,RCHY1,PPM1D,AIFM2
PRKCA.hsa05206	PRKCA	hsa05206	3.59004784315681e-39	78	260	41	PRKCA,TP53,PRKCB,PRKCG,ATM,MAPK7,MIR145,MIR143,MIR10A,MIR195,UBE2I,MIR30A,MIR30B,MIR30C1,MIR30C2,MIR30D,MIR30E,MIR221,MIR71,MIR72,MIR73,MIR1291,MIR1292,MIR103B1,MIR103B2,MIR103A1,MIR103A2,MDM4,DICER1,ABCC1,MIR10B,MIR223,HOXD10,MIR345,MIR181A2,MIR181B1,MIR181B2,MIR181C,MIR181A1,MIR181D,BMF
PAK1.hsa04012	PAK1	hsa04012	1.54113189644153e-10	48	85	10	PAK1,MAP2K7,PAK2,PAK4,BUB1BPAK6,PAK6,PAK5,PAK3,NCK1,NCK2
PAK1.hsa04270	PAK1	hsa04270	1.23267256749768e-19	48	134	18	ROCK1,ROCK2,MYLK4,MYLK,MYLK2,MYLK3,MYL9,MYL6B,MYL6,PPP1R12A,PPP1R12B,PPP1R12C,ARHGEF12,ARHGEF1,PPP1R14A,ACTA2,MYH11,ACTG2
PAK1.hsa04810	PAK1	hsa04810	4.84607835749582e-40	48	216	33	PAK1,ROCK1,ROCK2,MYLK4,MYLK,MYLK2,MYLK3,PAK2,PAK4,BUB1BPAK6,PAK6,PAK5,PAK3,MYL9,MYL2,ARHGEF7,MYL12B,MYL12A,MYLPF,MYL5,MYL7,MYL10,PPP1R12A,PPP1R12B,PPP1R12C,ARHGEF12,MYH9,ARHGEF1,LIMK1,LIMK2,MYH10,MYH14,GIT1
CAMK2A.hsa04022	CAMK2A	hsa04022	4.36397853720569e-09	34	173	10	PDE3B,VDAC2,VDAC3,PDE3A,VDAC1,SLC25A4,SLC25A5,SLC25A6,SLC25A31,PPIF
CAMK2A.hsa04024	CAMK2A	hsa04024	4.4503734333157e-09	34	229	11	CAMK2A,CAMK2B,CAMK2D,CAMK2G,PDE3B,PDE10A,PDE3A,PDE4A,PDE4B,PDE4C,PDE4D
CAMK2A.hsa04217	CAMK2A	hsa04217	1.09506533820135e-13	34	157	13	CAMK2A,CAMK2B,CAMK2D,CAMK2G,RIPK3,VDAC2,VDAC3,VDAC1,SLC25A4,SLC25A5,SLC25A6,SLC25A31,PPID
CAMK2A.hsa04750	CAMK2A	hsa04750	1.38868691333749e-10	34	122	10	CAMK2A,CAMK2B,CAMK2D,CAMK2G,TRPV1,C01330,C11695,C06866,C09179,C12271
RAB7A.hsa04145	RAB7A	hsa04145	2.61608016134522e-62	38	32	27	RAB7A,RAB7B,RILP,TUBA1B,TUBA3E,TUBA3D,TUBA8,TUBA4A,TUBA3C,TUBA1A,TUBAL3,TUBA1C,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI2,DYNC1LI1,DYNC2H1,TUBB3,TUBB4A,TUBB4B,TUBB,TUBB8,TUBB2B,TUBB2A,TUBB1,TUBB6
RAB7A.hsa04210	RAB7A	hsa04210	3.51435521568497e-17	38	129	15	GZMB,TUBA1B,TUBA3E,TUBA3D,TUBA8,TUBA4A,TUBA3C,TUBA1A,TUBAL3,TUBA1C,CASP6,DFFA,LMNA,LMNB1,LMNB2
FOXO1.hsa04010	FOXO1	hsa04010	4.23743323985849e-08	48	295	13	GADD45G,GADD45A,GADD45B,FASLG,MAP3K4,HSPA1A,NLK,HSPA1B,HSPA1L,HSPA2,HSPA6,HSPA8,STK4
FOXO1.hsa04068	FOXO1	hsa04068	3.52542226632397e-48	48	129	33	FOXO1,FOXO3,FOXO4,FOXO6,CDKN2B,GADD45G,GADD45A,GADD45B,BNIP3,FASLG,CAT,TNFSF10,S1PR4,NLK,CDKN2D,USP7,S1PR1,SGK1,STK4,TPTEP2CSNK1E,SOD2,C8orf44SGK3,SGK2,SGK3,CCNG2,PLK4,PLK2,BCL6,RAG1,RAG2,FBXO32,FBXO25,PRMT1
FOXO1.hsa04213	FOXO1	hsa04213	4.14652731118305e-15	48	63	12	FOXO1,FOXO3,CAT,EIF4EBP2,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA6,HSPA8,SOD2,CRYAB
CYP3A4.hsa00591	CYP3A4	hsa00591	1.61580602788616e-08	104	33	8	CYP3A4,CYP1A2,CYP2C9,CYP2C19,CYP2J2,CYP2C8,C14825,C14826
